,Calvin Klein Bangkok T1 West,Calvin Klein Bangkok T2 East,Calvin Klein London Heathrow,Calvin Klein Manila Fiestamall Obsessed,Calvin Klein Manila Fiestamall One Gold,Calvin Klein Moscow Airport,Calvin Klein Mumbai Airport,Cenique - China Office Test,Circle K CWB HK,Citistore,Coty Gondola Shanghai Explorium 2.0,Easel HK Showroom,Easel Paris Showroom 2018,Easel SH Explorium 2.0,EL JP RN NFC Tester,Estee Lauder Beijing RN Tester,Estee Lauder Tokyo RN Tester,Guerlain Rouge G Champs Elysées Paris,Guerlain Rouge G Lafayette Paris,Guerlain Rouge G Langham Place HK,Guerlain Rouge G Roissy Aiport,Guerlain Rouge G Sephora Paris,Guerlain Rouge G SH Creative Days 2018,Guerlain Rouge G Sun Plaza DFS HK,Guerlain Rouge G VivaTech Paris,Hugo Boss London Heathrow,Hugo Boss Mumbai Airport,Hugo Boss Tel Aviv Airport,Jeffrey,Kiehl's Citistore Tsuen Wan HK,Kiehl's Kwun Tong APM HK,Kiehl's Langham Place HK,Kiehl's Metroplaza Kwai Chung HK,Kiehl's NTP Animation Table HK,Kiehl's Shatin New Town Plaza HK,Kiehl's Telford Plaza HK,Kiehl's Times Square HK,Kiehl's TKO Animation Table HK,Kiehl's Tuen Mun Town Plaza HK,King King Gondola 2,Kwun Tong APM Mall from 26.9.17 Onwards,Kwun Tong APM Mall - up to 26.9.18,Langham Place Mongkok,L'Oreal Paris Watson's Taiwan,Marc Jacobs London Heathrow,Mayb 15ft Chadstone Consumer Journey Melb,Mayb 15ft Chermside QLD,Mayb 15ft Fountain Gate  Melb,Mayb 15ft Marion SA,Mayb 15ft Miranda Fair NSW,Mayb 15ft Mount Gravatt QLD,Mayb 15ft Penrith NSW,Mayb 15ft Queen Street Mall Brisbane,Mayb 15ft Wollongong NSW,Mayb 15ft World Square Sydney,Mayb Wall Unit SH Creative Days 2018,Metroplaza,New Town Plaza Shatin,Philosophy Book Facesss HK,Philosophy Book Facesss Ocean Terminal,Philosophy Book Showroom HK,Shu Uemura Sogo CWB Video Wall,Telford Plaza,test,Times Square,Tuen Mun Town Plaza
2018-11-13,87,0,29,34,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,220,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2018-11-14,105,0,12,17,43,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,35,232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
2018-11-15,31,0,22,14,23,10,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,58,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
2018-11-16,59,0,16,37,44,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,157,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
2018-11-17,57,0,37,84,72,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,40,0,129,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
2018-11-18,51,0,15,75,142,14,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,50,0,231,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2018-11-19,72,0,14,22,10,14,0,0,0,0,7,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2018-11-20,94,0,6,35,68,12,0,0,0,0,11,0,0,0,0,11,2,0,0,0,0,0,0,0,0,39,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2018-11-21,116,0,7,15,12,4,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,57,0,183,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2018-11-22,86,0,7,48,62,6,0,0,0,0,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,39,0,329,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2018-11-23,133,0,16,12,63,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,34,0,184,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
2018-11-24,119,0,15,31,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,163,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
2018-11-25,92,0,21,61,53,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,39,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2018-11-26,79,0,11,55,16,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43,0,220,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2018-11-27,53,0,12,58,20,9,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,39,0,190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2018-11-28,62,0,13,53,54,10,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,57,0,267,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2018-11-29,57,0,12,43,27,5,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,35,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
2018-11-30,111,0,15,86,123,11,0,0,0,0,2,0,0,0,0,11,5,0,0,0,0,0,0,0,0,51,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
2018-12-01,85,0,4,36,39,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,36,0,237,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
2018-12-02,84,0,5,33,68,11,0,0,0,0,3,0,0,0,0,0,210,0,0,0,0,0,0,0,0,40,0,337,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2018-12-03,68,0,6,35,45,39,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,35,0,268,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2018-12-04,83,0,9,33,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,298,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2018-12-05,87,0,9,83,27,7,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,69,0,309,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2018-12-06,50,0,13,50,30,9,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,350,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
2018-12-07,0,0,12,26,42,9,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2018-12-08,58,0,5,103,35,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,75,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
2018-12-09,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-10,70,0,48,168,150,24,32,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,120,51,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
2018-12-11,44,0,20,130,110,0,0,0,0,0,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,4,144,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2018-12-12,50,0,0,20,41,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
